?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0003937>	"MP:0000653"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"GAID:1171"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"NCIT:C13278"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"CALOHA:TS-0963"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"UMLS:C0038056"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"MA:0002536"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"Dorlands_Medical_Dictionary:MerckSource"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"BTO:0001297"
<http://purl.obolibrary.org/obo/UBERON_0007311>	<http://linkedlifedata.com/resource/umls/id/C0038056>
<http://purl.obolibrary.org/obo/UBERON_0007311>	"FMA:312401"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"MESH:D013183"
<http://purl.obolibrary.org/obo/UBERON_0007311>	"EMAPA:36553"
<http://purl.obolibrary.org/obo/UBERON_0000178>	<http://linkedlifedata.com/resource/umls/id/C0005767>
<http://purl.obolibrary.org/obo/UBERON_0000178>	"galen:Blood"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"BTO:0000089"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"MESH:D001769"
<http://purl.obolibrary.org/obo/UBERON_0000178>	<https://github.com/obophenotype/uberon/issues/9>
<http://purl.obolibrary.org/obo/UBERON_0000178>	"XAO:0000124"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"EFO:0000296"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"AAO:0000046"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"EHDAA2:0000176"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"VHOG:0000224"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"EMAPA:16332"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"GAID:965"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"MA:0000059"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"OpenCyc:Mx4rvVjI8JwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0000178>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000178>	"UMLS:C0005767"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"EV:0100047"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"EHDAA:418"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"MIAA:0000315"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"CALOHA:TS-0079"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"ZFA:0000007"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"FMA:9670"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"NCIT:C12434"
<http://purl.obolibrary.org/obo/UBERON_0000178>	<http://en.wikipedia.org/wiki/Blood>
<http://purl.obolibrary.org/obo/UBERON_0000178>	"ENVO:02000027"
<http://purl.obolibrary.org/obo/UBERON_0000178>	"TAO:0000007"
<http://purl.obolibrary.org/obo/UBERON_0004921>	"FBbt:00100315"
<http://purl.obolibrary.org/obo/UBERON_0004921>	"FMA:71131"
<http://purl.obolibrary.org/obo/UBERON_0004921>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0001560>	"FMA:45733"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"EFO:0001980"
<http://purl.obolibrary.org/obo/UBERON_0000977>	<http://en.wikipedia.org/wiki/Pleura>
<http://purl.obolibrary.org/obo/UBERON_0000977>	"GAID:360"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"UBERON:cjm"
<http://purl.obolibrary.org/obo/UBERON_0000977>	<https://en.wikipedia.org/wiki/Pulmonary_pleurae>
<http://purl.obolibrary.org/obo/UBERON_0000977>	"UMLS:C0032225"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"MP:0010820"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"NCIT:C12469"
<http://purl.obolibrary.org/obo/UBERON_0000977>	<https://github.com/obophenotype/uberon/issues/1231>
<http://purl.obolibrary.org/obo/UBERON_0000977>	"EMAPA:16775"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"BTO:0001791"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"MA:0000433"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"OpenCyc:Mx4rv3zwLZwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"ISBN:0-683-40008-8"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"EV:0100044"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"CALOHA:TS-2081"
